date,XLK,QTEC,beta,spread
2022-01-04,173.66,172.2,0.9928900896431073,2.6843265634569207
2022-01-05,168.32001,165.62,0.9986258601564754,2.9275950408845404
2022-01-06,167.47,166.85001,0.9971058596875211,1.1028773400785212
2022-01-07,165.92999,163.69,1.000100567683208,2.2235280759356897
2022-01-10,165.96001,164.56,0.9998725983191225,1.4209752206052144
2022-01-11,167.95,167.41,0.9976270527018757,0.9372551071789701
2022-01-12,168.74001,167.78,0.9973367271971234,1.4068539108666585
2022-01-13,164.37,162.28,0.9998615105072799,2.1124740748786337
2022-01-14,165.75999,164.35001,0.9997514389148959,1.4508310168224625
2022-01-18,161.78,159.0,1.0030040876476884,2.3023500640175314
2022-01-19,159.52,156.99001,1.0044182850991166,1.8363633781068245
2022-01-20,157.46001,154.58,1.0061756809856983,1.9253732332307436
2022-01-21,154.33,150.78999,1.0089407422383192,2.1918355672912924
2022-01-24,155.13,153.2,1.00664902251699,0.9113697503971423
2022-01-25,151.53999,147.00999,1.0117351145380884,2.804820929106768
2022-01-26,152.42999,147.08,1.0170601579063743,2.8407819751304544
2022-01-27,151.38,144.00999,1.025572224379913,3.6873542227709777
2022-01-28,158.0,148.77,1.0355414698366596,3.9424955324001303
2022-01-31,161.97,156.17,1.0323829995834877,0.7427469550467549
2022-02-01,162.39,157.10001,1.0291537706348501,0.709932341727324
2022-02-02,163.71001,158.57001,1.0267264933429594,0.901979683342006
2022-02-03,158.96001,151.25999,1.0320210227565756,2.8565204180506214
2022-02-04,159.60001,153.41,1.0314877018135864,1.359481664777718
2022-02-07,158.53999,152.74001,1.0302420481196433,1.180809267785179
2022-02-08,160.5,155.31,1.0277455398041724,0.8808402130139825
2022-02-09,164.06,160.5,1.0217589125889353,0.06769452947588661
2022-02-10,159.77,157.32001,1.0156736495364378,-0.01578870180887293
2022-02-11,154.89,150.53,1.0169061621868496,1.8151154060135184
2022-02-14,154.84,150.61,1.0173720762739449,1.613591592381141
2022-02-15,158.91,156.23,1.0135270527254787,0.5666685526984736
2022-02-16,158.75,155.34,1.0130608282684304,1.3811309367820286
2022-02-17,154.0,148.85001,1.0172492906045878,2.5824329210142025
2022-02-18,152.44,146.17999,1.0227761243459619,2.9305963708685283
2022-02-22,151.03,145.58,1.0243555988117437,1.9043119249863594
2022-02-23,147.25,142.00999,1.025052986395059,1.682235652567556
2022-02-24,152.28,149.3,1.019284490728939,0.10082553416941664
2022-02-25,154.35001,150.88,1.0169020445865997,0.9198295127738447
2022-02-28,154.07001,151.49001,1.0131746334632123,0.5841746449115988
2022-03-01,150.99001,148.84,1.0099047746632432,0.6757833391228871
2022-03-02,154.25999,151.96001,1.0081249315087684,1.065315326678217
2022-03-03,152.42,147.99001,1.0124026164265745,2.594526671005042
2022-03-04,149.75,144.25999,1.0178401126903391,2.916395521692806
2022-03-07,144.27,137.28999,1.0252708386374552,3.5105768161721755
2022-03-08,143.57001,137.14,1.0289130328708773,2.4648766720878825
2022-03-09,149.25,143.47,1.0292194160362131,1.5878903812844953
2022-03-10,146.64,140.66,1.0301223929490115,1.7429842077920341
2022-03-11,144.06,136.2,1.03573752348384,2.9925493015010147
2022-03-14,141.39,131.75,1.044267996702007,3.8076914345105592
2022-03-15,146.14,136.08,1.0507295293953962,3.156725639874452
2022-03-16,150.89,143.78,1.0462836840897733,0.4553319015723787
2022-03-17,151.96001,145.83,1.040775085193453,0.18377932623874926
2022-03-18,155.07001,150.0,1.0341874149044463,-0.05810223566695072
2022-03-21,154.49001,148.99001,1.0313594720129842,0.8277519511907769
2022-03-22,156.71001,152.14999,1.0269605738729601,0.457968954834854
2022-03-23,154.3,148.59,1.027392194553004,1.6397938113691453
2022-03-24,158.31,153.19,1.025862053027234,1.1581920967580288
2022-03-25,158.22,151.89,1.028035446395421,2.071696046999506
2022-03-28,160.10001,154.36,1.0277390882548672,1.458204336978696
2022-03-29,163.5,157.87,1.0270368654812283,1.3616900464784862
2022-03-30,161.32001,154.44,1.0299351021476473,2.2568328243173426
2022-03-31,158.92999,152.49001,1.0307846549903719,1.7456276526716294
2022-04-01,158.46001,151.92999,1.0315822623324262,1.731727199657115
2022-04-04,161.47,155.53,1.030322277828859,1.2239761292775597
2022-04-05,158.07001,150.05,1.03509502304257,2.754001792462361
2022-04-06,154.33,146.0,1.0392144215753687,2.604694449996174
2022-04-07,154.57001,146.49001,1.0412131380542853,2.0426869942963606
2022-04-08,152.41,143.45,1.044976787302431,2.5080798614662854
2022-04-11,148.57001,140.89999,1.0444699126256491,1.4042097557451427
2022-04-12,147.91,139.84,1.0452612073782834,1.740672760220832
